ext,path,resolved_url,source,status,url
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__mediterran__ab4350.html,https://linkinghub.elsevier.com/retrieve/pii/S0899900725002655,pubmed,ok_html_snapshot,https://doi.org/10.1016/j.nut.2025.112947
pdf,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__effects-of__42dc4b.pdf,https://link.springer.com/content/pdf/10.1186/s12986-026-01130-3_reference.pdf,pubmed,ok,https://doi.org/10.1186/s12986-026-01130-3
pdf,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__adherence-__461c2a.pdf,http://www.scielo.br/j/ress/a/TcBLghTgY9GhKbgBfM56YBC/?format=pdf&lang=en,europepmc,ok,https://doi.org/10.1590/s2237-96222024v34e20240287.en
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__efficacy-o__0884db.html,https://linkinghub.elsevier.com/retrieve/pii/S0899900726000389,pubmed,ok_html_snapshot,https://doi.org/10.1016/j.nut.2026.113129
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__mediterran__84a9b3.html,https://linkinghub.elsevier.com/retrieve/pii/S089990072500293X,pubmed,ok_html_snapshot,https://doi.org/10.1016/j.nut.2025.112975
pdf,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__hunger-obe__aa6924.pdf,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2021.805569/pdf,openalex,ok,https://www.frontiersin.org/articles/10.3389/fnut.2021.805569/pdf
pdf,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__cost-and-a__6c30a2.pdf,https://link.springer.com/content/pdf/10.1186/s12937-025-01212-7.pdf,pubmed,ok,https://doi.org/10.1186/s12937-025-01212-7
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__mapping-we__fd1828.html,https://linkinghub.elsevier.com/retrieve/pii/S2667193X26000682,pubmed,ok_html_snapshot,https://doi.org/10.1016/j.lana.2026.101438
pdf,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__mexican-cl__9f16d6.pdf,https://link.springer.com/content/pdf/10.1007/s13679-024-00585-w.pdf,europepmc,ok,https://doi.org/10.1007/s13679-024-00585-w
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__associatio__b1dfcf.html,https://www.nature.com/articles/0803235,openalex,ok,https://doi.org/10.1038/sj.ijo.0803235
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__reporting-__ed7877.html,https://linkinghub.elsevier.com/retrieve/pii/S0748798326004737,pubmed,ok_html_snapshot,https://doi.org/10.1016/j.ejso.2026.111854
pdf,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__nutritiona__b5e2b3.pdf,http://www.scielo.br/j/ress/a/PWVtgWD6wWfjgCZjGqGxF8x/?format=pdf&lang=en,europepmc,ok,https://doi.org/10.1590/s2237-96222025v34e20240386.en
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__american-a__9c1ffa.html,https://linkinghub.elsevier.com/retrieve/pii/S1530891X20446300,openalex,ok_html_snapshot,https://doi.org/10.4158/ep161365.gl
pdf,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__priority-o__4ac04c.pdf,https://link.springer.com/content/pdf/10.1186/s41043-025-01138-0.pdf,europepmc,ok,https://doi.org/10.1186/s41043-025-01138-0
pdf,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__ten-years-__2faab1.pdf,http://www.scielo.br/j/ress/a/jhKxXWFLFL5sRRLqYv4dKrb/?format=pdf&lang=en,europepmc,ok,https://doi.org/10.1590/s2237-96222025v34e20240267.en
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__easl-easd-__0ace89.html,https://linkinghub.elsevier.com/retrieve/pii/S0168827824003295,openalex,ok_html_snapshot,https://doi.org/10.1016/j.jhep.2024.04.031
pdf,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__efficacy-o__ad9833.pdf,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2026.1767108/pdf,europepmc,ok,https://doi.org/10.3389/fpubh.2026.1767108
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__the-2025-3__5b4386.html,https://linkinghub.elsevier.com/retrieve/pii/S2542519626000331,pubmed,ok_html_snapshot,https://doi.org/10.1016/j.lanplh.2026.101460
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__the-associ__9a446d.html,https://linkinghub.elsevier.com/retrieve/pii/S1279770725002052,pubmed,ok_html_snapshot,https://doi.org/10.1016/j.jnha.2025.100680
html,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__a-critical__d7bf20.html,https://linkinghub.elsevier.com/retrieve/pii/S0939475326000761,pubmed,ok_html_snapshot,https://doi.org/10.1016/j.numecd.2026.104614
