chars,ext,extraction_status,file,ocr_failed_pages,text_path,used_ocr
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__mediterran__ab4350.html,,project_output\05_extraction\NTV__busca1__pubmed__mediterran__ab4350.txt,False
60327,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__effects-of__42dc4b.pdf,,project_output\05_extraction\NTV__busca1__pubmed__effects-of__42dc4b.txt,False
47211,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__adherence-__461c2a.pdf,,project_output\05_extraction\NTV__busca1__europe__adherence-__461c2a.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__efficacy-o__0884db.html,,project_output\05_extraction\NTV__busca1__pubmed__efficacy-o__0884db.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__mediterran__84a9b3.html,,project_output\05_extraction\NTV__busca1__pubmed__mediterran__84a9b3.txt,False
71445,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__hunger-obe__aa6924.pdf,,project_output\05_extraction\NTV__busca1__openal__hunger-obe__aa6924.txt,False
52276,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__cost-and-a__6c30a2.pdf,,project_output\05_extraction\NTV__busca1__pubmed__cost-and-a__6c30a2.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__mapping-we__fd1828.html,,project_output\05_extraction\NTV__busca1__pubmed__mapping-we__fd1828.txt,False
119670,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__mexican-cl__9f16d6.pdf,,project_output\05_extraction\NTV__busca1__europe__mexican-cl__9f16d6.txt,False
23212,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__associatio__b1dfcf.html,,project_output\05_extraction\NTV__busca1__openal__associatio__b1dfcf.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__reporting-__ed7877.html,,project_output\05_extraction\NTV__busca1__pubmed__reporting-__ed7877.txt,False
42935,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__nutritiona__b5e2b3.pdf,,project_output\05_extraction\NTV__busca1__europe__nutritiona__b5e2b3.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__american-a__9c1ffa.html,,project_output\05_extraction\NTV__busca1__openal__american-a__9c1ffa.txt,False
100730,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__priority-o__4ac04c.pdf,,project_output\05_extraction\NTV__busca1__europe__priority-o__4ac04c.txt,False
43351,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__ten-years-__2faab1.pdf,,project_output\05_extraction\NTV__busca1__europe__ten-years-__2faab1.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__easl-easd-__0ace89.html,,project_output\05_extraction\NTV__busca1__openal__easl-easd-__0ace89.txt,False
55089,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__efficacy-o__ad9833.pdf,,project_output\05_extraction\NTV__busca1__europe__efficacy-o__ad9833.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__the-2025-3__5b4386.html,,project_output\05_extraction\NTV__busca1__pubmed__the-2025-3__5b4386.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__the-associ__9a446d.html,,project_output\05_extraction\NTV__busca1__pubmed__the-associ__9a446d.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__a-critical__d7bf20.html,,project_output\05_extraction\NTV__busca1__pubmed__a-critical__d7bf20.txt,False
21388,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__nutritiona__0b9e83.pdf,,project_output\05_extraction\NTV__busca1__europe__nutritiona__0b9e83.txt,False
29591,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__dietary-gu__138b45.pdf,,project_output\05_extraction\NTV__busca1__openal__dietary-gu__138b45.txt,False
58175,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__an-online-__a2c5dc.pdf,,project_output\05_extraction\NTV__busca1__openal__an-online-__a2c5dc.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__major-risk__f8514f.html,,project_output\05_extraction\NTV__busca1__europe__major-risk__f8514f.txt,False
1558,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__effectiven__94836e.html,,project_output\05_extraction\NTV__busca1__europe__effectiven__94836e.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__impact-and__4960b2.html,,project_output\05_extraction\NTV__busca1__europe__impact-and__4960b2.txt,False
102581,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__obesity-in__e11fd6.pdf,,project_output\05_extraction\NTV__busca1__openal__obesity-in__e11fd6.txt,False
33,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__clinical-g__f5d633.html,,project_output\05_extraction\NTV__busca1__openal__clinical-g__f5d633.txt,False
56424,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__current-gu__a81ac4.html,,project_output\05_extraction\NTV__busca1__europe__current-gu__a81ac4.txt,False
6189,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__school-hea__f1f794.html,,project_output\05_extraction\NTV__busca1__openal__school-hea__f1f794.txt,False
69005,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__italian-cl__5b16fd.pdf,,project_output\05_extraction\NTV__busca1__europe__italian-cl__5b16fd.txt,False
119562,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__the-vegpre__8ddabe.html,,project_output\05_extraction\NTV__busca1__europe__the-vegpre__8ddabe.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__design-of-__7ea401.html,,project_output\05_extraction\NTV__busca1__pubmed__design-of-__7ea401.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__esmo-clini__3eb085.html,,project_output\05_extraction\NTV__busca1__europe__esmo-clini__3eb085.txt,False
